4731370	12267	35.11.9	33.15
8451438	75104	75.11.12	84.11.12
8539833	75404	75.11.31	84.11.3
1075988	75404	75.11.31	None
7221849	12300	70.32.1	68.32.1
5308862	12247	65.22.3	64.92.3
9426577	12300	45.21.1	None
5469248	75204	75.11.21	84.11.21
7603984	75203	75.11.21	84.11.21
613411	12300	45.2	41.2
823999	12247	65.12	64.19
3696460	12267	60.21	49.31
8951829	12300	51.5	46.7
3952812	12247	45.23.1	42.11
5658199	20600	74.14	70.22
113886	12247	40.10.2	35.12
486218	12247	65.12	64.19
7848356	12300	05.01.1	03.11
9547905	75104	None	None
5968874	12300	None	71.12
6938411	75104	75.11.12	84.11.12
8795577	75104	75.13	84.13
5316394	12300	02.01.1	02.20
3598413	75104	75.1	84.1
8450658	75203	85.11.1	None
1125705	12300	45.11	43.11
116027	12267	40.10.5	35.12
5927646	12300	50.2	45.2
3105654	12267	65.23.3	64.99.3
8516769	12300	50.10	None
922275	12247	65.12	None
2882117	12300	45.21.1	41.20
1010360	75104	75.24.2	None
